ds,yhat,yhat_lower,yhat_upper
2014-09-18,2492.9241275486484,-35.43619599448196,5110.910329438449
2014-09-19,2970.4277881070616,598.0967998921232,5682.519643810977
2014-09-20,2605.1760364773736,-58.09282993539287,5281.765848603756
2014-09-21,2708.0322902113876,157.2173320310913,5319.633523592474
2014-09-22,2869.47999697112,393.3324419249416,5443.548102359757
2014-09-23,2132.9149314403157,-412.31369717728984,4521.716011443253
2014-09-24,1113.7420222981875,-1595.4399805921587,3614.5115211183156
2014-09-25,2170.5582614455225,-274.5745681024937,4912.665600332016
2014-09-26,2599.116886946552,-17.092754164683225,5152.627763726855
2014-09-27,2189.0641047639792,-238.78384241787325,4649.231058346644
2014-09-28,2251.8030855915013,-572.3429569825696,4776.475011221455
2014-09-29,2378.300672854033,-195.00540340582418,5012.807684166601
2014-09-30,1612.3744765947486,-915.2783492698024,4186.9750067408095
2014-10-01,569.7853899408057,-1933.6246923642886,3054.6826556158103
2014-10-02,1609.4170756277235,-1011.4887114862464,4180.153702601816
2014-10-03,2027.2375954105073,-487.6902187605643,4837.380505544587
2014-10-04,1613.0344175396294,-1032.0566903765275,4118.093984129904
2014-10-05,1678.277500662025,-871.0063672872893,4253.89811621865
2014-10-06,1813.925846997576,-624.2352896166888,4419.901501727195
2014-10-07,1063.7151541908042,-1394.6637611444573,3782.644790728037
2014-10-08,43.25155742908669,-2477.405833852576,2616.591024712555
2014-10-09,1111.1929671194616,-1566.932890392078,3579.5148063430647
2014-10-10,1563.2131371254309,-997.656777420454,4160.147135304328
2014-10-11,1188.7396666468194,-1414.8968567996951,3791.7935261535995
2014-10-12,1298.8206101584342,-1294.1065095162949,3816.3744626978146
2014-10-13,1483.9350671746374,-1282.1641926973227,4015.2592605728196
2014-10-14,787.2853715746242,-1888.3107733073775,3147.5715752217507
2014-10-15,-176.1041361574903,-2982.407940052889,2279.661215226266
2014-10-16,951.7997482981939,-1592.0914256080616,3583.206656480051
2014-10-17,1466.009168528052,-1175.945290539356,4091.6552199394946
2014-10-18,1155.2597015451051,-1416.4646669949793,3868.2113767424694
2014-10-19,1329.8839374733805,-1211.749308347755,3889.8067683639865
2014-10-20,1579.6295062819047,-870.786921206434,4039.7758189734423
